Property Code,Owner / Broker,Owner Name,Number,City,Loatlity,Actucally Locaion,Property Type,Sqft Areas,Price,Potral,possession
E87686876,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-1102-sq-ft-spid-E87686876,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-ten-bkc-bandra-east-western-mumbai-1102-sq-ft-spid-E87686876,Bandra,Bandra East,Ten BKC,3 BHK Flat for rent,"1,102 sqft",₹3 Lac /month,99acres,N/A
A88929004,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-antariksh-ace-bandra-east-western-mumbai-535-sq-ft-spid-A88929004,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-antariksh-ace-bandra-east-western-mumbai-535-sq-ft-spid-A88929004,Bandra,Bandra East,Antariksh Ace,2 BHK Flat for rent,535 sqft,"₹80,000 /month",99acres,N/A
F83924240,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-910-sq-ft-r1-spid-F83924240,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-910-sq-ft-r1-spid-F83924240,Bandra,Bandra East,N/A,2 BHK Flat for rent,910 sqft,"₹80,000 /month",99acres,N/A
F88898686,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-emgee-milton-towers-linking-road-western-mumbai-600-sq-ft-spid-F88898686,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-emgee-milton-towers-linking-road-western-mumbai-600-sq-ft-spid-F88898686,Bandra,Linking Road,Emgee Milton Towers,2 BHK Flat for rent,600 sqft,"₹50,000 /month",99acres,N/A
W88830296,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-our-select-apartment-bandra-west-western-mumbai-750-sq-ft-spid-W88830296,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-our-select-apartment-bandra-west-western-mumbai-750-sq-ft-spid-W88830296,Bandra,Bandra West,Our Select Apartment,2 BHK Flat for rent,750 sqft,₹1.4 Lac /month,99acres,N/A
N88822274,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sethia-grandeur-bandra-east-western-mumbai-1110-sq-ft-spid-N88822274,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sethia-grandeur-bandra-east-western-mumbai-1110-sq-ft-spid-N88822274,Bandra,Bandra East,Sethia Grandeur,2 BHK Flat for rent,"1,110 sqft",₹1 Lac /month,99acres,N/A
Q88768512,Owner,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-gurukrupa-nirmalam-bandra-east-western-mumbai-1300-sq-ft-spid-Q88768512,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-gurukrupa-nirmalam-bandra-east-western-mumbai-1300-sq-ft-spid-Q88768512,Bandra,Bandra East,Gurukrupa Nirmalam,4 BHK Flat for rent,"1,300 sqft",₹1.9 Lac /month,99acres,N/A
O88697396,Owner,https://www.99acres.com/studio-apartment-flat-for-rent-in-silver-rock-by-s-raheja-bandra-west-western-mumbai-600-sq-ft-spid-O88697396,https://www.99acres.com/studio-apartment-flat-for-rent-in-silver-rock-by-s-raheja-bandra-west-western-mumbai-600-sq-ft-spid-O88697396,Bandra,Bandra West,Silver Rock by S Raheja,Studio Apartments / 1 RK Flats for rent,600 sqft,"₹25,000 /month",99acres,N/A
W88682872,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-leo-apartments-bandra-west-western-mumbai-750-sq-ft-spid-W88682872,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-leo-apartments-bandra-west-western-mumbai-750-sq-ft-spid-W88682872,Bandra,Bandra West,Leo Apartments,2 BHK Flat for rent,750 sqft,₹1 Lac /month,99acres,N/A
Q88645114,Owner,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-250-sq-ft-spid-Q88645114,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-bandra-east-western-mumbai-250-sq-ft-spid-Q88645114,Bandra,Bandra East,ashtavinayak society,1 BHK Flat for rent,250 sqft,"₹27,000 /month",99acres,N/A
C88637072,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kalpataru-magnus-bandra-east-western-mumbai-1121-sq-ft-spid-C88637072,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kalpataru-magnus-bandra-east-western-mumbai-1121-sq-ft-spid-C88637072,Bandra,Bandra East,Kalpataru Magnus,3 BHK Flat for rent,"1,121 sqft",₹2.5 Lac /month,99acres,N/A
J88540344,Owner,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-kgn-palace-bandra-west-western-mumbai-400-sq-ft-spid-J88540344,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-kgn-palace-bandra-west-western-mumbai-400-sq-ft-spid-J88540344,Bandra,Bandra West,KGN Palace,1 BHK Independent Builder Floor for rent,400 sqft,"₹30,000 /month",99acres,N/A
H88499974,Owner,https://www.99acres.com/studio-apartment-flat-for-rent-in-amsula-apartment-bandra-west-western-mumbai-100-sq-ft-spid-H88499974,https://www.99acres.com/studio-apartment-flat-for-rent-in-amsula-apartment-bandra-west-western-mumbai-100-sq-ft-spid-H88499974,Bandra,Bandra West,Amsula Apartment,Studio Apartments / 1 RK Flats for rent,100 sqft,"₹17,000 /month",99acres,N/A
O88494448,Owner,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-bandra-west-western-mumbai-100-sq-ft-spid-O88494448,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-bandra-west-western-mumbai-100-sq-ft-spid-O88494448,Bandra,Bandra West,"Bandra West, Mumbai, Western Mumbai",1 BHK Independent Builder Floor for rent,100 sqft,"₹16,500 /month",99acres,N/A
